"State","Date","New Cases","Estimated Effective R","95% CI Low","95% CI High"
"New Jersey",2020-11-23,3581,1.1176210386616,1.08299511166125,1.15224696566195
"New Jersey",2020-11-24,4275,1.1121773169323,1.0805636233575,1.14379101050711
"New Jersey",2020-11-25,4059,1.10765607246878,1.07527813224977,1.14003401268779
"New Jersey",2020-11-26,4473,1.1039247049012,1.07313350987884,1.13471589992355
"New Jersey",2020-11-27,4095,1.10075052490155,1.06861586156814,1.13288518823496
"New Jersey",2020-11-28,3802,1.09780306388439,1.06449783600632,1.13110829176246
"New Jersey",2020-11-29,3839,1.09468550884594,1.06158826214648,1.1277827555454
"New Jersey",2020-11-30,3190,1.09100598615476,1.05475878649431,1.12725318581521
"New Jersey",2020-12-01,4606,1.08646155940188,1.05635913658709,1.11656398221668
"New Jersey",2020-12-02,4303,1.08090544747338,1.04984094365776,1.111969951289
"New Jersey",2020-12-03,4793,1.07437572247249,1.04503095794734,1.10372048699764
"New Jersey",2020-12-04,5663,1.06706759714519,1.04016284803826,1.09397234625213
"New Jersey",2020-12-05,5324,1.05927718522803,1.0316305642552,1.08692380620085
"New Jersey",2020-12-06,6030,1.05132219338001,1.02544211757291,1.07720226918711
"New Jersey",2020-12-07,3563,1.04348392771497,1.00994174919575,1.07702610623418
"New Jersey",2020-12-08,5476,1.03598533293656,1.00902648120936,1.06294418466377
"New Jersey",2020-12-09,4463,1.02900415929844,0.99924289065752,1.05876542793936
"New Jersey",2020-12-10,5120,1.02270265394221,0.99500161599556,1.05040369188887
"New Jersey",2020-12-11,3650,1.01724885753028,0.984528087305821,1.04996962775474
"New Jersey",2020-12-12,6240,1.01282925004754,0.987858465816779,1.0378000342783
"New Jersey",2020-12-13,4154,1.00965219233034,0.979095311254412,1.04020907340627
"New Jersey",2020-12-14,4798,1.00793478114172,0.979526661921433,1.03634290036202
"New Jersey",2020-12-15,3966,1.00789692070886,0.976651375642895,1.03914246577482
"New Jersey",2020-12-16,5701,1.00975551319769,0.983670623265042,1.03584040313034
"New Jersey",2020-12-17,4255,1.01371550126786,0.983462763457857,1.04396823907785
"New Jersey",2020-12-18,3896,1.01996594627034,0.98825276641938,1.05167912612129
"New Jersey",2020-12-19,4191,1.02866985426971,0.997962980252217,1.05937672828721
"New Jersey",2020-12-20,5175,1.03997061579864,1.01218552722002,1.06775570437726
"New Jersey",2020-12-21,3171,1.05397745615574,1.01824408748773,1.08971082482374
"New Jersey",2020-12-22,4603,1.07071853385479,1.04082525276787,1.10061181494172
"New Jersey",2020-12-23,4809,1.09007651963819,1.06056731399925,1.11958572527713
"New Jersey",2020-12-24,4704,1.11167476990637,1.08154390150688,1.14180563830587
"New Jersey",2020-12-25,5060,1.13475854820038,1.10540687003629,1.16411022636447
"New Jersey",2020-12-26,3999,1.15809882935449,1.12474439135677,1.1914532673522
"New Jersey",2020-12-27,2320,1.1799894361383,1.13578644423234,1.22419242804426
"New Jersey",2020-12-28,2744,1.19835833158181,1.15739851471429,1.23931814844933
"New Jersey",2020-12-29,3657,1.21100804556531,1.17534093802666,1.24667515310396
"New Jersey",2020-12-30,4718,1.21594959407505,1.18448400532911,1.24741518282099
"New Jersey",2020-12-31,5096,1.21174015830878,1.18151648021926,1.24196383639829
"New Jersey",2021-01-01,5501,1.19788500970641,1.16896194636678,1.22680807304603
"New Jersey",2021-01-02,5511,1.1750733739769,1.14645301053641,1.20369373741739
"New Jersey",2021-01-03,3670,1.14523635494198,1.11061271422647,1.1798599956575
"New Jersey",2021-01-04,51092,1.111229650789,1.1020888544919,1.12037044708611
"New Jersey",2021-01-05,6264,1.07612508922786,1.05043506767566,1.10181511078006
"New Jersey",2021-01-06,5852,1.0424581679859,1.01629824047699,1.0686180954948
"New Jersey",2021-01-07,7479,1.01181044975594,0.989012928845495,1.03460797066638
"New Jersey",2021-01-08,7021,0.984891928081846,0.96167765611729,1.0081062000464
"New Jersey",2021-01-09,7411,0.961811944069637,0.939483039075915,0.984140849063358
"New Jersey",2021-01-10,5646,0.942356336509644,0.917034313114751,0.967678359904538
"New Jersey",2021-01-11,5337,0.926159746789347,0.900339751158957,0.951979742419736
"New Jersey",2021-01-12,4586,0.912838011941136,0.88518501308717,0.940491010795102
"New Jersey",2021-01-13,7878,0.902071748985834,0.881098023393529,0.923045474578138
"New Jersey",2021-01-14,7092,0.893604258053976,0.87160277535877,0.915605740749183
"New Jersey",2021-01-15,6365,0.887205737776569,0.864064990553635,0.910346484999503
"New Jersey",2021-01-16,5999,0.882602324726668,0.858827995325306,0.90637665412803
"New Jersey",2021-01-17,5136,0.879440088221005,0.853791904864502,0.905088271577507
"New Jersey",2021-01-18,3853,0.877301504940927,0.847725344442712,0.906877665439143
"New Jersey",2021-01-19,4627,0.875751619460777,0.848786116627016,0.902717122294537
"New Jersey",2021-01-20,5439,0.874407697140026,0.8495554157992,0.899259978480852
"New Jersey",2021-01-21,5048,0.87298472385175,0.8472088417711,0.898760605932399
"New Jersey",2021-01-22,4200,0.871311149779139,0.843079709060972,0.899542590497305
"New Jersey",2021-01-23,7148,0.869324333929547,0.847708552192188,0.890940115666905
"New Jersey",2021-01-24,5272,0.867045968133971,0.841909340828315,0.892182595439627
"New Jersey",2021-01-25,4143,0.864559652878575,0.836244747991624,0.892874557765527
"New Jersey",2021-01-26,4776,0.862005703827306,0.835672751317411,0.888338656337201
"New Jersey",2021-01-27,4810,0.859589628004595,0.83338660725318,0.88579264875601
"New Jersey",2021-01-28,4746,0.857579031796648,0.831230688029433,0.883927375563863
"New Jersey",2021-01-29,5986,0.856261515293698,0.832818315097545,0.879704715489852
"New Jersey",2021-01-30,5274,0.855867267939698,0.8308973414832,0.880837194396195
"New Jersey",2021-01-31,4288,0.856486438757504,0.828783922813219,0.88418895470179
"New Jersey",2021-02-01,3515,0.858027601890754,0.827402556617439,0.88865264716407
"New Jersey",2021-02-02,3150,0.860243764110334,0.827851084130343,0.892636444090324
"New Jersey",2021-02-03,2311,0.862816358713294,0.82494128888228,0.900691428544308
"New Jersey",2021-02-04,3289,0.865463179393096,0.833665922040141,0.897260436746051
"New Jersey",2021-02-05,4228,0.868016588528998,0.839930118481131,0.896103058576865
"New Jersey",2021-02-06,4510,0.870447309111225,0.843214826601564,0.897679791620886
"New Jersey",2021-02-07,4332,0.872837014375536,0.845012310522073,0.900661718228999
"New Jersey",2021-02-08,2561,0.87533373698927,0.839093208308995,0.911574265669546
"New Jersey",2021-02-09,3577,0.878123618285126,0.847409682203437,0.908837554366814
"New Jersey",2021-02-10,4370,0.881414628643772,0.853574478969476,0.909254778318067
"New Jersey",2021-02-11,3656,0.885404957679599,0.854898237290599,0.915911678068599
"New Jersey",2021-02-12,3732,0.890230955063746,0.85995386543746,0.920508044690033
"New Jersey",2021-02-13,3757,0.895926434401491,0.865653420580723,0.92619944822226
"New Jersey",2021-02-14,2168,0.902419682292772,0.862423199521736,0.942416165063809
"New Jersey",2021-02-15,1445,0.909578769360915,0.860392813382694,0.958764725339135
"New Jersey",2021-02-16,3633,0.917277435115878,0.886125796703332,0.948429073528423
"New Jersey",2021-02-17,4109,0.925429373046262,0.896007117374483,0.95485162871804
"New Jersey",2021-02-18,3276,0.933957334611348,0.900853829355777,0.967060839866919
"New Jersey",2021-02-19,3046,0.942729651992805,0.908237364971687,0.977221939013924
"New Jersey",2021-02-20,2878,0.951524438887208,0.915873586625092,0.987175291149323
"New Jersey",2021-02-21,2031,0.960054554068215,0.917424932473547,1.00268417566288
"New Jersey",2021-02-22,2704,0.968041747911457,0.930941522090648,1.00514197373227
"New Jersey",2021-02-23,3158,0.975296948965227,0.940837287555163,1.00975661037529
"New Jersey",2021-02-24,3118,0.981770721911881,0.946974429702731,1.01656701412103
"New Jersey",2021-02-25,3575,0.98754906613203,0.954955913414065,1.02014221884999
"New Jersey",2021-02-26,3869,0.992808521885763,0.961393351361696,1.02422369240983
"New Jersey",2021-02-27,4135,0.997748839225043,0.967283781076115,1.02821389737397
"New Jersey",2021-02-28,2390,1.00253803483339,0.962367633122384,1.0427084365444
"New Jersey",2021-03-01,3142,1.00729250675989,0.972172263085618,1.04241275043417
"New Jersey",2021-03-02,3289,1.012090351482,0.97767980145028,1.04650090151373
"New Jersey",2021-03-03,3691,1.01699046625456,0.98442669277726,1.04955423973186
"New Jersey",2021-03-04,3193,1.02202517302541,0.986924311756828,1.05712603429399
"New Jersey",2021-03-05,3698,1.0271768911341,0.994475378329946,1.05987840393825
"New Jersey",2021-03-06,3722,1.032362406463,0.999680791844323,1.06504402108168
"New Jersey",2021-03-07,2520,1.03744114645191,0.997620408272787,1.07726188463103
"New Jersey",2021-03-08,2307,1.04225853216878,1.00053799694518,1.08397906739238
"New Jersey",2021-03-09,4126,1.0467054304352,1.01543757099173,1.07797328987867
"New Jersey",2021-03-10,3775,1.05075156247746,1.01799379606739,1.08350932888753
"New Jersey",2021-03-11,3814,1.05442687532925,1.02177401076557,1.08707973989294
"New Jersey",2021-03-12,4216,1.05776512393076,1.02665240527774,1.08887784258378
"New Jersey",2021-03-13,3867,1.06075170638978,1.0282119299045,1.09329148287505
"New Jersey",2021-03-14,3310,1.06330624548338,1.02808347966721,1.09852901129954
"New Jersey",2021-03-15,2822,1.06531166121318,1.02711762006578,1.10350570236058
"New Jersey",2021-03-16,3717,1.0666698268985,1.03335805351141,1.09998160028558
"New Jersey",2021-03-17,4312,1.06735042286948,1.03640084843493,1.09829999730403
"New Jersey",2021-03-18,4472,1.06739025050877,1.03698605258999,1.09779444842756
"New Jersey",2021-03-19,4392,1.066844325801,1.03615776615925,1.09753088544276
"New Jersey",2021-03-20,4909,1.06572896678076,1.0367028596751,1.09475507388642
"New Jersey",2021-03-21,3238,1.0639867351879,1.02825483489332,1.09971863548247
"New Jersey",2021-03-22,3151,1.06150434730717,1.02529978855456,1.09770890605978
"New Jersey",2021-03-23,4803,1.05817070156197,1.02886925208799,1.08747215103595
"New Jersey",2021-03-24,4096,1.05393595881649,1.02224149100374,1.08563042662924
"New Jersey",2021-03-25,3944,1.04884033685739,1.01658615740479,1.08109451630999
"New Jersey",2021-03-26,5599,1.04300271374989,1.01597598062682,1.07002944687296
"New Jersey",2021-03-27,4666,1.0365916150638,1.00703751814904,1.06614571197856
"New Jersey",2021-03-28,4505,1.02978440629482,0.999759820056906,1.05980899253274
"New Jersey",2021-03-29,3621,1.02275384887015,0.98931998432039,1.05618771341991
"New Jersey",2021-03-30,4873,1.01567720689241,0.986898396787503,1.04445601699731
"New Jersey",2021-03-31,3668,1.00875128939843,0.975616587598601,1.04188599119825
"New Jersey",2021-04-01,5608,1.00218967631051,0.975407625565103,1.02897172705591
"New Jersey",2021-04-02,4529,0.996178547700118,0.966373418364636,1.0259836770356
"New Jersey",2021-04-03,4445,0.990827064713663,0.960714355024401,1.02093977440292
"New Jersey",2021-04-04,3801,0.986138027939804,0.953515358736912,1.0187606971427
"New Jersey",2021-04-05,2831,0.982022849050654,0.94411789647899,1.01992780162232
"New Jersey",2021-04-06,3712,0.978354037781225,0.945126792167571,1.01158128339488
"New Jersey",2021-04-07,4241,0.975013173389223,0.943776171826751,1.00625017495169
"New Jersey",2021-04-08,4332,0.971896180250611,0.940801706562379,1.00299065393884
"New Jersey",2021-04-09,4193,0.968886490898963,0.93704720875718,1.00072577304075
"New Jersey",2021-04-10,3599,0.965814094345288,0.931143197778839,1.00048499091174
"New Jersey",2021-04-11,3387,0.962445544410263,0.926332224483451,0.998558864337076
"New Jersey",2021-04-12,2476,0.958528688981097,0.915774019560184,1.00128335840201
"New Jersey",2021-04-13,3954,0.95384570698997,0.919531921377104,0.988159492602836
"New Jersey",2021-04-14,3563,0.94829903653614,0.91155291496011,0.98504515811217
"New Jersey",2021-04-15,3918,0.94192623726127,0.906206710000051,0.977645764522489
"New Jersey",2021-04-16,4381,0.934863057779937,0.900317561902507,0.969408553657367
"New Jersey",2021-04-17,3922,0.927288730021887,0.889804217038205,0.964773243005569
"New Jersey",2021-04-18,3149,0.919317511731726,0.876177411669249,0.962457611794202
"New Jersey",2021-04-19,2183,0.911030602349687,0.857330197294113,0.964731007405262
"New Jersey",2021-04-20,2839,0.902519948812703,0.853450339803755,0.95158955782165
"New Jersey",2021-04-21,3475,0.89398529721584,0.847494235689758,0.940476358741923
"New Jersey",2021-04-22,3230,0.885789720477654,0.834927837452538,0.936651603502771
"New Jersey",2021-04-23,2834,0.878422653939898,0.820791319859902,0.936053988019893
"New Jersey",2021-04-24,2783,0.872392359205179,0.810297071730131,0.934487646680227
"New Jersey",2021-04-25,1694,NA,NA,NA
"New Jersey",2021-04-26,0,NA,NA,NA
"New Mexico",2020-03-11,4,0.774532638169908,-0.0858235176718491,1.63488879401167
"New Mexico",2020-03-12,2,0.814434604471533,-0.442527014895241,2.07139622383831
